"Area";"1008";"1033";"1038";"1045";"1050";"1052";"1058";"1063";"1068";"1096";"1099";"1107";"1114";"1117";"1125";"1126";"1139";"1157";"1170";"1177";"1185";"1196";"1202";"1209";"1212";"1216";"1230";"1246";"1254";"1257";"1260";"1268";"1270";"1275";"1290";"1293";"1303";"1309";"1327";"1331";"1336";"1344";"1352";"1354";"1356";"1360"
"[Lebanon]";NA;NA;NA;NA;NA;NA;NA;6,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"[Syria]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,4;7,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"[Turkey]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,8;NA;NA;NA;NA
"[Vrancea deep]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,1;NA;NA;NA;7,1;NA;NA;NA;NA;NA;7,5;NA;NA;NA;NA;7,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,3;NA;NA;NA;NA;NA;NA;NA
"Antioch, Maras";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Baihaq";NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cankiri";NA;NA;NA;NA;7,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Caucasus";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
