id.tweet	date	author	text	app	followers	following	first.HT
1.29503430707825E+018	2020-08-16 16:26:54	@lau_ix	RT @Daniel_SM9: La fumada que llevan los del #Madrid16A es histórica. https://t.co/YLbtg2RUtH	Twitter for iPhone	435	471	Madrid16A
1.29503430775772E+018	2020-08-16 16:26:54	@humanidalibre	RT @GatunaGuerrera: #Madrid16A Y sigue llenándose. https://t.co/mzu7LwAPN4	Twitter Web App	5	18	Madrid16A
1.29503431352909E+018	2020-08-16 16:26:55	@antoniogz7	RT @Daniel_SM9: La fumada que llevan los del #Madrid16A es histórica. https://t.co/YLbtg2RUtH	Twitter for Android	565	1081	Madrid16A
1.29503431443913E+018	2020-08-16 16:26:55	@JuanCarlosBarea	RT @Fumatron_S: ¿Mascarilla o tubo endotraqueal conectado a un respirador? Tú decides que prefieres. #Madrid16A https://t.co/Gbr8qsDBhL	Twitter for Android	76	186	Madrid16A
1.29503431524456E+018	2020-08-16 16:26:55	@JuanAntonioLJ	"RT @EnfrmraSaturada: Las personas que van hoy a #Madrid16A porque están en contra de las mascarillas y ""la farsa de la Covid-19"", ¿también están en contra de ser atendidas en hospitales y centros de salud llegado el momento?. Por respetar su voluntad, más que nada."	Twitter for Android	290	1604	Madrid16A
1.29503431794568E+018	2020-08-16 16:26:56	@taticarter7	RT @MayanVictoria: @BoseOfficial Que irresponsabilidad más grande es #Madrid16A https://t.co/7CwoB9cyRK	Twitter for iPhone	132	278	Madrid16A
1.29503431934658E+018	2020-08-16 16:26:56	@RipperRoo_2	RT @elshowdeyoki: Define gilipollas:	Twitter for Android	295	107	None
1.29503431958558E+018	2020-08-16 16:26:57	@Jaimee_Torres	RT @Daniel_SM9: La fumada que llevan los del #Madrid16A es histórica. https://t.co/YLbtg2RUtH	Twitter for iPhone	156	246	Madrid16A
1.29503432091937E+018	2020-08-16 16:26:57	@urijauskas	"Tengo un plan: 1.- La policía rodea la plaza y nadie sale de ahí sin identificar. 2.- A esa gente se le deniega la atención sanitaria por causas relacionadas con el virus. 3.- Se les regala una plaquita para su nicho con la inscripción ""Pues al final no era mentira""."	Twitter for Android	644	999	None
1.29503432165343E+018	2020-08-16 16:26:57	@noe_mdr	"RT @EnfrmraSaturada: Las personas que van hoy a #Madrid16A porque están en contra de las mascarillas y ""la farsa de la Covid-19"", ¿también están en contra de ser atendidas en hospitales y centros de salud llegado el momento?. Por respetar su voluntad, más que nada."	Twitter for iPhone	362	916	Madrid16A
1.295034323113E+018	2020-08-16 16:26:57	@ElenaaaGarcia	"RT @EnfrmraSaturada: Las personas que van hoy a #Madrid16A porque están en contra de las mascarillas y ""la farsa de la Covid-19"", ¿también están en contra de ser atendidas en hospitales y centros de salud llegado el momento?. Por respetar su voluntad, más que nada."	Twitter for Android	159	200	Madrid16A
